timestamp,imgtype,image,run_date,plantcv_version,sample,trait,value,label
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_101,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_201,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_301,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_401,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_501,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_901,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_701,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_801,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_601,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_502,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_402,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_102,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_702,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_202,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_602,gray_frequencies,NA,NA
2023-07-12,DEM,../DSMs/2023-07-12_DEM.tif,2025-11-19T16:07:40.101329Z,4.10.dev245+g4144cef28,default_802,gray_frequencies,NA,NA
